"","Package","Version"
"miniUI.1","miniUI","0.1.1.1"
"minqa.1","minqa","1.2.4"
"misc3d","misc3d","0.9-1"
"mlbench","mlbench","2.1-3"
"MLmetrics","MLmetrics","1.1.1"
"mockery","mockery","0.4.3"
"mockr","mockr","0.2.0"
"modeldata","modeldata","1.0.0"
"ModelMetrics","ModelMetrics","1.2.2.2"
"multcomp","multcomp","1.4-20"
"multicool","multicool","0.1-12"
"munsell.1","munsell","0.5.0"
"mvtnorm","mvtnorm","1.1-3"
"nloptr","nloptr","2.0.3"
"NMF","NMF","0.24.0"
"numDeriv.1","numDeriv","2016.8-1.1"
"openssl.1","openssl","2.0.2"
"optimx","optimx","2022-4.30"
"packrat","packrat","0.8.1"
"palmerpenguins","palmerpenguins","0.1.1"
"parallelly","parallelly","1.32.1"
"pcaPP","pcaPP","2.0-2"
"permute","permute","0.9-7"
"pillar.1","pillar","1.8.1"
"pkgbuild.1","pkgbuild","1.3.1"
"pkgconfig.1","pkgconfig","2.0.3"
"pkgdown.1","pkgdown","2.0.6"
"pkgKitten","pkgKitten","0.2.2"
"pkgload.1","pkgload","1.3.0"
"pkgmaker","pkgmaker","0.32.2"
"plogr","plogr","0.2.0"
"plot3D","plot3D","1.4"
"plotmo","plotmo","3.6.2"
"plotrix","plotrix","3.8-2"
"pls","pls","2.8-1"
"plumber","plumber","1.2.0"
"plyr","plyr","1.8.7"
"png.1","png","0.1-7"
"polyclip.1","polyclip","1.10-0"
"pracma","pracma","2.3.8"
"praise.1","praise","1.0.0"
"prettycode","prettycode","1.1.0"
"prettyunits.1","prettyunits","1.1.1"
"pROC","pROC","1.18.0"
"processx.1","processx","3.7.0"
"prodlim","prodlim","2019.11.13"
"profmem","profmem","0.6.0"
"profvis.1","profvis","0.3.7"
"progress.1","progress","1.2.2"
"progressr","progressr","0.10.1"
"promises.1","promises","1.2.0.1"
"proxy","proxy","0.4-27"
"ps.1","ps","1.7.1"
"purrr.1","purrr","0.3.4"
"quadprog","quadprog","1.5-8"
"quantmod","quantmod","0.4.20"
"quantreg.1","quantreg","5.94"
"R.methodsS3","R.methodsS3","1.8.2"
"R.oo","R.oo","1.25.0"
"R6.1","R6","2.5.1"
"ragg","ragg","1.2.2"
"RANN","RANN","2.6.1"
"rappdirs.1","rappdirs","0.3.3"
"raster","raster","3.5-29"
"rcmdcheck.1","rcmdcheck","1.4.0"
"RColorBrewer.1","RColorBrewer","1.1-3"
"Rcpp.1","Rcpp","1.0.9"
"RcppArmadillo","RcppArmadillo","0.11.2.3.1"
"RcppEigen.1","RcppEigen","0.3.3.9.2"
"RcppProgress","RcppProgress","0.4.2"
"RcppRoll","RcppRoll","0.3.0"
"RcppTOML","RcppTOML","0.1.7"
"RCurl","RCurl","1.98-1.8"
"readr.1","readr","2.1.2"
"recipes","recipes","1.0.1"
"registry","registry","0.5-1"
"rematch2.1","rematch2","2.1.2"
"remotes.1","remotes","2.4.2"
"reshape2","reshape2","1.4.4"
"reticulate","reticulate","1.25"
"rex","rex","1.2.1"
"rgdal","rgdal","1.5-32"
"rgl","rgl","0.109.6"
"rlang.1","rlang","1.0.4"
"rmarkdown.1","rmarkdown","2.15"
"RMySQL","RMySQL","0.10.23"
"rngtools","rngtools","1.5.2"
"robustbase","robustbase","0.95-0"
"ROCR","ROCR","1.0-11"
"ROSE","ROSE","0.0-4"
"roxygen2.1","roxygen2","7.2.1"
